cycle,strain,energy_eV,sigma_zz_GPa,max_nn_A
1,0.0300000000,-16442.160089858695,0.469333000000,2.863782
2,0.0300000000,-16447.291997695695,-0.414958000000,2.902171
3,0.0300000000,-16438.719998831195,-0.545563000000,2.923887
4,0.0300000000,-16433.819338232563,-0.445670000000,2.929292
5,0.0300000000,-16425.818361993795,-0.028354000000,2.927861
6,0.0300000000,-16415.437691337331,-0.722096000000,2.930515
7,0.0300000000,-16410.610550654463,-1.351543000000,2.928847
8,0.0300000000,-16396.648364380802,-0.924134000000,2.933722
9,0.0300000000,-16385.368139860457,-1.032739000000,2.976988
10,0.0300000000,-16369.594346223837,-2.683738000000,3.046398
11,0.0300000000,-16351.467412028933,-3.233672000000,3.149615
12,0.0300000000,-16332.032131808690,-7.237142000000,3.301534
13,0.0300000000,-16318.159680739818,-6.251973000000,3.442619
14,0.0300000000,-16300.548749954047,-14.309000000000,3.562461
15,0.0300000000,-16275.512551794849,-18.845476000000,3.681970
16,0.0300000000,-16258.958438374486,-15.428002000000,3.827030
17,0.0300000000,-16243.076907845387,-17.644315000000,4.006210
18,0.0300000000,-16222.541937196442,-48.636973000000,4.188242
19,0.0300000000,-16203.620294518596,-45.842583000000,4.366687
20,0.0300000000,-16186.202508182298,-24.679686000000,4.532109
21,0.0300000000,-16164.767245864587,-87.321712000000,4.730902
22,0.0300000000,-16149.477447455540,-105.921121000000,4.735581
23,0.0300000000,-16138.463288295634,-73.096348000000,4.690491
24,0.0300000000,-16116.326430963967,-145.626971000000,4.642980
25,0.0300000000,-16096.527236631742,-164.146068000000,4.598561
26,0.0300000000,-16080.974581495104,-105.344264000000,4.561313
27,0.0300000000,-16062.856600750527,-99.647044000000,4.529246
28,0.0300000000,-16042.268447695142,-77.107793000000,4.508866
29,0.0300000000,-16023.064619502224,-177.235786000000,4.507581
30,0.0300000000,-15996.061349573672,-258.952170000000,4.502834
31,0.0300000000,-15964.953711868797,-300.276648000000,4.502298
32,0.0300000000,-15944.002215027402,-237.521979000000,4.518692
33,0.0300000000,-15921.370271091908,-237.774860000000,4.525291
34,0.0300000000,-15894.840142635057,-97.348259000000,4.541397
35,0.0300000000,-15868.927563529016,-79.986521000000,4.560458
36,0.0300000000,-15840.496585573401,-134.792518000000,4.583468
37,0.0300000000,-15801.512640889792,-236.903907000000,4.615308
38,0.0300000000,-15766.281203309743,-178.839461000000,4.644136
39,0.0300000000,-15735.704539466533,-104.212361000000,4.691923
40,0.0300000000,-15726.003699211486,-133.704129000000,4.730411
41,0.0300000000,-15761.293043209531,-162.520350000000,4.771962
42,0.0300000000,-15803.507292180215,-85.485472000000,4.795277
43,0.0300000000,-15840.158037681982,-45.130387000000,4.816900
44,0.0300000000,-15851.812638244153,-57.420304000000,4.843234
45,0.0300000000,-15846.454972131567,-16.775719000000,4.873757
46,0.0300000000,-15842.283654276387,-26.059192000000,4.897000
47,0.0300000000,-15853.714345444358,-60.277386000000,4.915163
48,0.0300000000,-15860.640230020781,-21.338425000000,4.928499
49,0.0300000000,-15847.640854519776,-27.237605000000,4.938529
50,0.0300000000,-15821.014957051884,-15.869424000000,4.950393
51,0.0300000000,-15795.294604039596,-17.296419000000,4.960203
52,0.0300000000,-15772.629722697757,-25.300940000000,4.969221
53,0.0300000000,-15750.183026149207,-14.859914000000,4.964573
54,0.0300000000,-15725.990940349329,-7.520491000000,4.962769
55,0.0300000000,-15699.324487314190,-21.144803000000,4.976051
56,0.0300000000,-15678.578217498336,-14.500300000000,4.999255
57,0.0300000000,-15660.119319161699,-13.188841000000,5.036299
58,0.0300000000,-15652.457281135394,-52.544573000000,5.086471
59,0.0300000000,-15642.730867330827,-61.664954000000,5.134399
60,0.0300000000,-15630.576219814579,-47.376361000000,5.083745
61,0.0300000000,-15591.460219571138,-130.339882000000,4.847304
62,0.0300000000,-15514.525805410076,-69.039504000000,4.578107
63,0.0300000000,-15418.254516998988,-128.769857000000,4.266631
64,0.0300000000,-15326.564127152171,-68.850083000000,4.269168
65,0.0300000000,-15303.986089456090,-207.718110000000,4.426618
66,0.0300000000,-15298.470393595588,-115.039331000000,4.578402
67,0.0300000000,-15324.623926823046,-198.235685000000,4.743986
68,0.0300000000,-15399.984205403067,-138.615657000000,4.842507
69,0.0300000000,-15456.373652950795,-121.350388000000,4.920002
70,0.0300000000,-15487.117589647907,-75.373430000000,5.008317
71,0.0300000000,-15497.099925817494,-52.879783000000,5.089610
72,0.0300000000,-15507.738058683144,-19.743549000000,5.174006
73,0.0300000000,-15470.901184796789,-14.299583000000,5.260432
74,0.0300000000,-15356.782335037286,-13.706410000000,5.348060
75,0.0300000000,-15390.758142438572,-9.030851000000,5.441370
76,0.0300000000,-15410.609854526405,-7.745114000000,5.545725
77,0.0300000000,-15389.828108833550,-5.457681000000,5.653061
78,0.0300000000,-15376.564668590234,-3.969961000000,5.762521
79,0.0300000000,-15359.936453491937,-3.398540000000,5.875714
80,0.0300000000,-15317.983579794349,-3.589309000000,5.870480
81,0.0300000000,-15240.881927252669,-4.332802000000,5.948529
82,0.0300000000,-15214.455525793814,-2.751783000000,6.135034
83,0.0300000000,-15236.143011517561,-2.455861000000,6.236336
84,0.0300000000,-15241.522307961292,-2.791669000000,6.343295
85,0.0300000000,-15258.242677879442,-1.768414000000,6.444597
86,0.0300000000,-15292.400561416704,-1.823481000000,6.605635
87,0.0300000000,-15317.552982360006,-2.397027000000,6.870150
88,0.0300000000,-15344.397442519614,-4.017811000000,7.007216
89,0.0300000000,-15404.692648977043,-1.831150000000,7.128058
90,0.0300000000,-15491.945978979378,-3.735040000000,7.240117
91,0.0300000000,-15496.280401939213,-6.409075000000,7.329421
92,0.0300000000,-15090.190958812680,-14.547523000000,7.484624
93,0.0300000000,-14588.188173372002,-12.871092000000,7.630051
94,0.0300000000,-14887.166751903287,-18.503735000000,7.745473
95,0.0300000000,-15030.317426107649,-55.012591000000,7.883374
96,0.0300000000,-14594.784631467801,-123.747642000000,8.029958
97,0.0300000000,-14814.865696939651,-99.570244000000,8.183068
98,0.0300000000,-15165.165521784375,-30.403266000000,8.341865
99,0.0300000000,-15427.255335229129,-18.974199000000,8.509784
100,0.0300000000,-15782.972371017839,-19.642275000000,8.686922
