      Step     Time          Energy          fmax
BFGS:    0 16:27:21   -16471.706429        0.366675
BFGS:    1 16:27:25   -16471.769845        0.296831
BFGS:    2 16:27:31   -16471.939111        0.229198
BFGS:    3 16:27:35   -16471.960309        0.191465
BFGS:    4 16:27:40   -16472.026670        0.290679
BFGS:    5 16:27:44   -16472.093958        0.153365
BFGS:    6 16:27:49   -16472.112638        0.114888
BFGS:    7 16:27:53   -16472.140036        0.128198
BFGS:    8 16:27:59   -16472.176515        0.121325
BFGS:    9 16:28:02   -16472.190956        0.090897
