N,case,direction,r_A,energy_eV,Ef2_eV,Eb_meV,fmax_eV_A
108,2V_1NN_D110,110,2.7963106218393334,-6670.735792690299,1.3056208815978607,47.40853271323431,0.0009057139026041935
108,2V_2NN_D100,100,3.9545804060131298,-6670.699669453525,1.3417441183719347,11.285295939160278,0.0009340721305052324
108,2V_D310_r1,310,6.252740636637459,-6670.690322263849,1.3510913080472164,1.93810626569757,0.0009276200064362613
108,2V_D111_r1,111,6.849534185831099,-6670.683933080436,1.357480491460592,-4.451077147678006,0.0009056809979485264
108,2V_D110_r2,110,5.592621243678668,-6670.684397306037,1.3570162658597837,-3.9868515468697296,0.0007315457842716409
108,2V_D110_r3,110,8.388931865518003,-6670.681518656706,1.3598949151901252,-6.865500877211161,0.0009437721400904024
256,2V_1NN_D110,110,2.796310621839335,-15986.420487261279,1.301390169750448,49.64465633565851,0.0009120344096993617
256,2V_2NN_D100,100,3.95458040601313,-15986.383199088747,1.3386783422829467,12.35648380315979,0.0007810192052179857
256,2V_D310_r1,310,6.252740636637459,-15986.372219841276,1.3496575897534058,1.3772363345196936,0.0007135818316068198
256,2V_D111_r1,111,6.849534185831099,-15986.369292344647,1.3525850863825326,-1.550260294607142,0.0006828280755426282
256,2V_D110_r2,110,5.592621243678669,-15986.367935599152,1.353941831877819,-2.9070057898934465,0.0007902597172169044
256,2V_D110_r3,110,8.388931865518003,-15986.368772513284,1.3531049177454406,-2.0700916575151496,0.0009703332566201036
