cycle,strain,energy_eV,sigma_cell_zz_GPa,grip_force_top_z_eVA,grip_force_bottom_z_eVA,grip_stress_top_GPa,grip_stress_bottom_GPa,grip_stress_avg_GPa,wire_area_ref_ellipse_A2,wire_area_current_ellipse_A2,cell_area_xy_A2,wire_span_x_A,wire_span_y_A,grip_distance_A,n_atoms,area_current_used_A2,area_ref_used_A2,area_ratio_Aref_over_Acurrent,area_current_source,area_ref_source,grip_nominal_top_GPa,grip_nominal_bottom_GPa,grip_nominal_raw_GPa,grip_apparent_cauchy_top_GPa,grip_apparent_cauchy_bottom_GPa,grip_apparent_cauchy_raw_GPa,grip_nominal_primary_GPa,grip_apparent_cauchy_primary_GPa,grip_top_bottom_balance_rel,grip_top_bottom_balance_signed_GPa,diagnostic_cell_cauchy_wire_current_GPa,diagnostic_cell_nominal_wire_ref_GPa,stress_definition_note,radius_label
0,0.0,-4816.325679757918,-0.823826332066,-2.803849297663,2.712595122721,7.786044707483,7.532639830683,7.659342269083,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,16.646243230123,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,7.786044707483616,7.532639830682587,7.659342269083101,7.786044707483616,7.532639830682587,7.659342269083101,0.0,0.0,0.0330844174210488,0.2534048768010288,-12.850795553468174,-12.850795553468174,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
1,0.01,-4815.799849596731,0.302614797335,-3.643123870667,3.549915171149,10.116636923231,9.857804502324,9.987220712778,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,16.812705662424,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,10.116636923231432,9.857804502324056,9.987220712777743,10.116636923231432,9.857804502324056,9.987220712777743,2.327878443694644,2.327878443694644,0.0259163613532865,0.2588324209073764,4.720461996224151,4.720461996224151,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
2,0.0201,-4815.235823097378,0.337920134781,-4.078270205133,4.113516730204,11.325000303272,11.42287682617,11.373938564721,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,16.980832719048,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,11.32500030327252,11.422876826170873,11.373938564721696,11.32500030327252,11.422876826170873,11.373938564721696,3.7145962956385943,3.7145962956385943,0.0086053324748856,-0.0978765228983533,5.271186895156372,5.271186895156372,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
3,0.030301,-4814.466027333334,0.3902553608,-4.873838689196,4.868828111282,13.534224525824,13.520310588407,13.527267557116,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,17.150641046239,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,13.53422452582344,13.520310588408456,13.527267557115948,13.53422452582344,13.520310588408456,13.527267557115948,5.867925288032847,5.867925288032847,0.0010285844762245,0.0139139374149852,6.087559549970757,6.087559549970757,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
4,0.04060401,-4813.561009038197,0.44726903496,-5.671262806203,5.651671080596,15.748601679054,15.694197167511,15.721399423282,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,17.322147456701,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,15.748601679052449,15.694197167511833,15.72139942328214,15.748601679052449,15.694197167511833,15.72139942328214,8.062057154199039,8.062057154199039,0.0034605387266,0.0544045115406159,6.9769109118589,6.9769109118589,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
5,0.0510100501,-4812.632179924922,0.475134509945,-6.017652668399,6.034434556173,16.710496084549,16.757097921743,16.733797003146,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,17.495368931268,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,16.710496084548883,16.75709792174222,16.73379700314555,16.710496084548883,16.75709792174222,16.73379700314555,9.07445473406245,9.07445473406245,0.0027848931826157,-0.0466018371933358,7.411582041069454,7.411582041069454,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
6,0.061520150601,-4811.505941519927,0.532108164906,-6.762024082912,6.757193131963,18.777550514757,18.764135385741,18.770842950249,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,17.670322620581,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,18.77755051475729,18.764135385741643,18.770842950249467,18.77755051475729,18.764135385741643,18.770842950249467,11.111500681166364,11.111500681166364,0.0007146790930595,0.0134151290156481,8.300309146940831,8.300309146940831,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
7,0.072135352107,-4810.252285719312,0.573813136226,-7.449130369379,7.427523053501,20.685584683955,20.625583054205,20.65558386908,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,17.847025846787,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,20.685584683956105,20.62558305420552,20.65558386908081,20.685584683956105,20.62558305420552,20.65558386908081,12.99624159999771,12.99624159999771,0.0029048624396623,0.0600016297505874,8.950861380021964,8.950861380021964,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
8,0.082856705628,-4808.975425480214,0.613692505643,-7.751260283676,7.77343133495,21.524573078285,21.586140152014,21.555356615149,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,18.025496105254,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,21.52457307828434,21.58614015201229,21.55535661514832,21.52457307828434,21.58614015201229,21.55535661514832,13.896014346065217,13.896014346065217,0.0028562308120053,-0.0615670737279501,9.572936207241789,9.572936207241789,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
9,0.093685272684,-4807.51829197398,0.660834535654,-8.423999492673,8.426929495249,23.392711127676,23.400847489025,23.39677930835,57.696326719578,57.696326719578,900.0,8.737457581727,8.407622478072,18.205751066307,89,57.696326719578,57.696326719578,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,23.39271112767724,23.400847489024763,23.396779308351,23.39271112767724,23.400847489024763,23.396779308351,15.7374370392679,15.7374370392679,0.0003477556137233,-0.0081363613475247,10.308300647617902,10.308300647617902,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor,r1
