source,setting,x,Ef_vac_eV
QE kmesh,1x1x1,1.0,-1.1132604439173823
QE kmesh,2x2x2,2.0,0.7347058512282308
QE kmesh,3x3x3,3.0,0.945387209444544
QE kmesh,4x4x4,4.0,0.6481331171349475
QE kmesh,5x5x5,5.0,0.5725285891686487
QE dense k=5 ecut,400 eV,400.0,0.5723885440701522
QE dense k=5 ecut,500 eV,500.0,0.5724400139742858
QE dense k=5 ecut,600 eV,600.0,0.5725285891686487
DFTpy fixed QE-a0,spacing_0p30A,0.3,2.936612551309281
DFTpy fixed QE-a0,spacing_0p25A,0.25,2.933222220223797
DFTpy fixed QE-a0,spacing_0p22A,0.22,2.932902790360913
DFTpy fixed QE-a0,spacing_0p20A,0.2,2.9370607212244977
DFTpy fixed QE-a0,spacing_0p18A,0.18,2.937107230689435
DFTpy own-a0,spacing_0p30A,0.3,3.223578855096548
DFTpy own-a0,spacing_0p25A,0.25,3.224266821166111
DFTpy own-a0,spacing_0p22A,0.22,3.2223608045474066
DFTpy own-a0,spacing_0p20A,0.2,3.2215297472484963
DFTpy own-a0,spacing_0p18A,0.18,3.220916153065445
DFTpy size fixed QE-a0 spacing=0.20 A,prim_04x04x04,4.0,2.937152759460787
DFTpy size fixed QE-a0 spacing=0.20 A,prim_06x06x06,6.0,2.9026716157786723
DFTpy size fixed QE-a0 spacing=0.20 A,prim_08x08x08,8.0,2.912507568627916
DFTpy size fixed QE-a0 spacing=0.20 A,prim_10x10x10,10.0,2.886483255540952
DFTpy size fixed QE-a0 spacing=0.20 A,prim_12x12x12,12.0,2.9499751675029984
DFTpy size fixed QE-a0 spacing=0.20 A,prim_14x14x14,14.0,2.900601129338611
