Case,Direction,Radius,ZR,Atoms,Energy_eV_atom_QE,Energy_eV_atom_OFDFT,Delta_Energy_eV_atom_OFDFT_minus_QE,Final_Max_Force_eVA_QE,Final_Max_Force_eVA_OFDFT
Al_vac_100_r4.0_zr4_n15,100,4.0,4.0,15,-536.7321791712722,-52.28018674421683,484.4519924270553,0.0198734778020979,0.0133697375438447
Al_vac_100_r6.0_zr1_n19,100,6.0,1.0,19,-536.9900530357837,-54.70007584039291,482.2899771953908,0.010892103802914,0.0071990894466856
Al_vac_100_r8.0_zr2_n63,100,8.0,2.0,63,-537.1187493866629,-55.10605263252248,482.0126967541404,0.0191876870313543,0.0185119442914773
Al_vac_100_r10.0_zr2_n191,100,10.0,2.0,191,-537.1843084638243,-55.34765548878332,481.836652975041,0.097812436786695,0.0102844134952651
Al_vac_110_r4.0_zr4_n23,110,4.0,4.0,23,-536.8716801490816,-53.556812051808095,483.3148680972735,0.0171185548492875,0.0149123995681345
Al_vac_110_r6.0_zr1_n15,110,6.0,1.0,15,-537.0872276851371,-54.80899522411828,482.2782324610188,0.0186470440104262,0.0190261649662405
Al_vac_110_r8.0_zr2_n51,110,8.0,2.0,51,-537.1533641494485,-55.129452742921394,482.02391140652713,0.0182680639949346,0.0138839582186079
Al_vac_110_r10.0_zr2_n135,110,10.0,2.0,135,-537.1897556231949,-55.26198960386445,481.9277660193304,0.1289900607764104,0.0149123995681345
Al_vac_111_r4.0_zr4_n55,111,4.0,4.0,55,-536.8128762574224,-53.5921370799915,483.2207391774309,0.3499580341622134,0.0087417514709754
Al_vac_111_r6.0_zr1_n33,111,6.0,1.0,33,-537.0280825988718,-54.66334270059591,482.364739898276,0.0211209749402936,0.0118270755195549
Al_vac_111_r8.0_zr2_n103,111,8.0,2.0,103,-537.1075414547904,-54.991459067928965,482.1160823868614,0.0248107222358491,0.0118270755195549
